en,tr,description,file,hash
%s (not installed),%s (görünmez),,site/modules/Relay/Relay.module.php,1307e7441c89b0828007900bfd3f2171
3 days,3 gün 3 gün,,site/modules/Relay/Relay.module.php,45fe0d3293152fa29cf10ef8a3c1871d
3-day calendar,3-gün takvim,,site/modules/Relay/Relay.module.php,38e6af5f4884e28e44bb23d5f6af6677
Absolute path or a path relative to the ProcessWire root. Relay only generates the command; it never writes the system crontab.,ProcessWire köküne göre mutlak yol veya bir yol. Relay sadece komut üretir; asla sistem krokisini yazamaz.,,site/modules/Relay/Relay.module.php,220d13541eac933c9acfb78f07514d20
Access,Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access Access,,site/modules/Relay/Relay.module.php,bf733d8a933c1601697f364223fc7ecb
Action,Eylem Eylem,,site/modules/Relay/Relay.module.php,004bf6c9a40003140292e97330236c53
Actions,Eylemler,,site/modules/Relay/Relay.module.php,06df33001c1d7187fdd81ea1f5b277aa
Actions in current view by status,Mevcut görüşle ilgili eylemler,,site/modules/Relay/Relay.module.php,af64477cfee328730682df824f4f4527
Active,Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif Aktif,,site/modules/Relay/Relay.module.php,4d3d769b812b6faa6b76e1a8abaece2d
Adds /relay-api/v1/ routes with session/CSRF or an explicitly rotated Bearer credential. CORS remains disabled.,Oturum/CSRF ile CSRF veya açıkça Bearer credential. CORS devre dışı kalır. (/relay-api/v1/ · relay-api),,site/modules/Relay/Relay.module.php,9b843d3fcc73feed1090d1cc97f93994
Adds a compact action/clock marker and local-time tooltip for users with relay-view.,relay-view ile kullanıcılar için kompakt bir eylem / saat işaretleyici ve yerel zaman aracıtip ekleyin.,,site/modules/Relay/Relay.module.php,663e5ab2d43fd1eede404e7d7623588b
Adds a subtle weekend background in date-based calendar views. Disable it for a uniform grid.,Tarih tabanlı takvim görüşlerinde ince bir hafta sonu geçmişi ekleyin. üniformalı bir ızgara için kullanılabilir.,,site/modules/Relay/Relay.module.php,75d3e7a7bfcdde3525309af275c77048
AI planning proposals,AI planlama önerileri önerileri,,site/modules/Relay/Relay.module.php,ce74f68e998d966d107b0e413109aafd
"Alerts contain metadata, not editorial content","Uyarılar metadata içerir, editör içerik değil",,site/modules/Relay/Relay.module.php,e2ff31dc656705e2b2d89110a4dac14c
All actions,Bütün eylemler,,site/modules/Relay/Relay.module.php,2701bbdc7ebed3bba6e85534149c85b1
All editable templates,Tüm düzenlenebilir şablonlar,,site/modules/Relay/Relay.module.php,c4665cd5c7c6178de30de7f3c8056ba4
Allowed templates,İzin verilen şablonlara İzin Verilmiş,,site/modules/Relay/Relay.module.php,309be34a512a2a051e6e43bb6da151b9
All statuses,Tüm statüler,,site/modules/Relay/Relay.module.php,96e3d398260724e0a83da53a2e9f20e7
All templates,Tüm şablonlar,,site/modules/Relay/Relay.module.php,d4e3a3afd7f0073d8b3967cf2995edc9
An action fails,Bir eylem başarısız olur,,site/modules/Relay/Relay.module.php,c9987dc7822b8c86232ea7dac2a53950
An action is cancelled,Bir eylem iptal edilir,,site/modules/Relay/Relay.module.php,d73a22447bf29c5c8b6ec10edb2ddf15
An action is rescheduled,Bir eylem yeniden düzenlenmiştir,,site/modules/Relay/Relay.module.php,de25faabb04cfecc9d35e31628b8fe76
An action is scheduled,Bir eylem planlanmıştır,,site/modules/Relay/Relay.module.php,5c5c92a301f9adb4c09fd18daf4b2830
An editor can request an editable publication-time and note proposal. Nothing is scheduled and no page is changed automatically.,"Bir editör, düzenlenebilir bir yayın-zaman ve not önerisi talep edebilir. Hiçbir şey planlanmamıştır ve hiçbir sayfa otomatik olarak değiştirilemez.",,site/modules/Relay/Relay.module.php,bf9d1f92b299ff2027159bb4ad01ee1c
Any action completes,Herhangi bir eylem tamamlıyor,,site/modules/Relay/Relay.module.php,4c1a63ec3b633e25dff8c7c0d954fdf8
A page is successfully published,Bir sayfa başarıyla yayınlanır,,site/modules/Relay/Relay.module.php,f4fa1bf941f484b0acd75613e7fde479
API,API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API API,,site/modules/Relay/Relay.module.php,db974238714ca8de634a7ce1d083a14f
API access,API erişim,,site/modules/Relay/Relay.module.php,333157a2df341277b8e5bf1ac7b9afd0
API keys and SMTP passwords remain in the selected WireMail provider. Relay sends operational page and job metadata only; a delivery failure never blocks a job state change.,API anahtarları ve SMTP şifreleri seçilmiş WireMail sağlayıcısında kalır. Relay operasyonel sayfa ve iş metadata yalnızca; bir teslimat başarısızlığı asla iş durumu değişikliğini engeller.,,site/modules/Relay/Relay.module.php,335db0f60c195441bf768ffc9a695a42
Apply filters,Uygulama filtreleri,,site/modules/Relay/Relay.module.php,79ee641715155ec7d121815215f2b70c
"A request triggers the check, not the clock","Bir istek kontrolü tetikliyor, saat değil",,site/modules/Relay/Relay.module.php,8b8b2dee506dea84460e65c8dac45ce2
A runtime credential is active; the saved token is not used.,Bir runtime credential aktif; kurtarılan token kullanılmaz.,,site/modules/Relay/Relay.module.php,c4956cadc1053597ded6bac69c666e50
"A session-only demo sandbox. Create, reschedule, cancel, filter, and run test actions without writing schedule jobs or changing pages. Real jobs are hidden and workers are paused while enabled.","Bir seans sadece demo kumbox. Oluştur, reschedule, iptal, filtre ve sayfaları yazmadan test eylemleri yürütmek. Gerçek işler gizli ve işçiler, etkinleştirilen süre boyunca duraklanır.",,site/modules/Relay/Relay.module.php,e021fd243bfab1b74a65440ec0649a84
Assistance,Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım Yardım,,site/modules/Relay/Relay.module.php,1741ec6ed69cf571adac9eeb641c4f87
Authentication does not bypass permissions,Kimlik doğrulama izinleri atmıyor,,site/modules/Relay/Relay.module.php,3105bd97f2e5366f5c658323e62a7d61
Available,kullanılabilir kullanılabilir kullanılabilir kullanılabilir,,site/modules/Relay/Relay.module.php,78945de8de090e90045d299651a68a9b
Batch limit,Batch limiti,,site/modules/Relay/Relay.module.php,c434994f87d80496315aabb424d301ac
Bearer token,Bearer token,,site/modules/Relay/Relay.module.php,25d95961a44037e555767a429cb7864e
Bounded filtered job list.,Bounded filtered iş listesi.,,site/modules/Relay/Relay.module.php,d28acff2ebaac2f03b246ad07ab890cb
Bounded filtered jobs.,Bounded filtered Jobs.,,site/modules/Relay/Relay.module.php,a63e0c300eda884def8ac90cee995aee
"Bound execution, retry failed work, and configure the optional traffic-driven fallback.","Bound execution, retry başarısız bir iş çıkardı ve opsiyonel trafik odaklı düşüş yapılandırdı.",,site/modules/Relay/Relay.module.php,1287ef14325adcd0c658131d23c85733
Browse pages,Yüz sayfalar Sayfaları,,site/modules/Relay/Relay.module.php,5e0b73696a62c55958548373ca1b8685
Build a server-ready crontab line from the detected paths and worker limits. This page never installs or executes it.,Bu sayfayı asla yüklemez veya yürütemez.,,site/modules/Relay/Relay.module.php,c6716b8ef9880688b036ee21e2b24786
"Build the exact production worker command to review, copy, and install in the server scheduler.","Tam üretim işçisinin inceleme, kopya ve sunucu programlayıcıya yüklenmesi için komutunu oluşturun.",,site/modules/Relay/Relay.module.php,3dc3e866979d8821bbbaf6c1593d8b46
Calendar,Takvim Takvim Takvim,,site/modules/Relay/Relay.module.php,8ff922bbcd8ad41cdfc48d3c5163b2ab
Calendar is clear,Takvim açık,,site/modules/Relay/Relay.module.php,97c3f628453fd7631afa4ff83e6cf353
Calendar range,Takvim aralığı,,site/modules/Relay/Relay.module.php,1421ce9923c5e5d1c1b17300282da3d1
Cancel,Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel Cancel,,site/modules/Relay/Relay.module.php,ea4788705e6873b424c65e91c2846b19
Cancel action,İptal Eylemi İptal,,site/modules/Relay/Relay.module.php,1bf87e44da33943a3baad59edd51f4a0
Cancel a pending action.,Beklenmeyen bir eylem iptal et.,,site/modules/Relay/Relay.module.php,b6d129c814ed58a2a5f019b6dbbf3cb5
Cancel editing,Cancel editing,,site/modules/Relay/Relay.module.php,12c110ad1b37cf8db33fa1246ec4143d
Cancelled,İptal iptali iptal,,site/modules/Relay/Relay.module.php,a149e85a44aeec9140e92733d9ed694e
Cancel pending job.,Beklemek için bekleyen iş iptal edin.,,site/modules/Relay/Relay.module.php,8bdd42c19fd7e9a544c6f8b007ab0bde
Cancel this scheduled action?,Bu planlanan eylemi iptal et?,,site/modules/Relay/Relay.module.php,a5ff052f361c36edf80cdd32fbd0d468
Cards are grouped by status; open any card for full details and actions.,Kartlar statü tarafından gruplanır; tüm ayrıntıları ve eylemleri için herhangi bir kart açın.,,site/modules/Relay/Relay.module.php,49a239f405913b1094ea1cbab8dce2b7
Channel and capability manifest.,Kanal ve yetenek ortaya çıkar.,,site/modules/Relay/Relay.module.php,d424fe59c2ccbde6fc73ac9b8d3d9993
Channels and stable capabilities.,Kanallar ve stabil yetenekler.,,site/modules/Relay/Relay.module.php,a0b7a50f9cffaa9bcbe43579ecb44fa0
Check paths,Kontrol yolları kontrol,,site/modules/Relay/Relay.module.php,46380281d1978ca571499940ac460734
"Choose an interface to see what it does, whether it is ready, what it can change, and where to configure it.","Ne yaptığını görmek için bir arayüz seçin, hazır olup olmadığını, ne değiştirebilir ve nerede yapılandırılır.",,site/modules/Relay/Relay.module.php,792b6c4ecd8ede98fda36a2d900e5909
Choose a schedule action first.,Önce bir program eylemi seçin.,,site/modules/Relay/Relay.module.php,b5ca6bee4a1a4df268843a5ed568baea
Choose Kanban column,Kanban sütunu seçin,,site/modules/Relay/Relay.module.php,a75a612ebcfc9a2c29b980d76c23dfc7
Choose month and year,Ay ve yıl seçin,,site/modules/Relay/Relay.module.php,a7175c2ee9b6981892ad0d0cb0770a3c
Choose one or more page templates. Leave empty to allow every editable non-admin page.,Bir veya daha fazla sayfa şablonları seçin. Her türlü düzenlemedik olmayan biradmin sayfasına izin vermek için boş bırakın.,,site/modules/Relay/Relay.module.php,62f53ddacf90ac1a1a282667dd84f6ba
Choose publish or unpublish.,Yayınlama veya yayınlanmaz.,,site/modules/Relay/Relay.module.php,52a5e2ae21b418ac0b637e80b695e59b
Choose the roles whose users may be selected by someone with relay-run-as permission.,Kullanıcıların relay-run-as izni ile biri tarafından seçilebilecek rolleri seçin.,,site/modules/Relay/Relay.module.php,cc5c4664914c5717b118af4ffbb7b656
Choose timeline date,Zaman çizelgesi tarih tarihi seçin,,site/modules/Relay/Relay.module.php,58c26170f40ee134863a4e2265318259
Choose up to eight scalar fields. Only these bounded values are included after an editor requests a proposal. Use title alone for the smallest disclosure.,Sekiz ölçekli alana kadar seçin. Sadece bu sınırlı değerler bir öneriden sonra dahil edilir. en küçük açıklama için tek başına başlık kullanın.,,site/modules/Relay/Relay.module.php,9caa28121a764be018236b2647157e0b
"Choose what should happen to the page, when it should happen, and who should perform it.","Sayfaya ne olması gerektiğini seçin, ne zaman olması gerektiği ve bunu kimin yerine getirmelidir.",,site/modules/Relay/Relay.module.php,03029f0acc3df7ea5b91d1fcf3694bd7
Choose which pages and editorial identities Relay may operate on.,Hangi sayfaları ve editör kimliklerini seçin Relay çalışabilir.,,site/modules/Relay/Relay.module.php,6b448a4ff5e5058375e4118a2718db83
Clear all demo actions from this session?,Bu seanstan tüm demo eylemleri temizleyin mi?,,site/modules/Relay/Relay.module.php,0afe20513d4c6a3d9f609d4983d57823
Clear demo data,Clear demo verileri,,site/modules/Relay/Relay.module.php,a13c9b268dc6b84aa629f0d3974fb7a6
Clear filter,Clear filtre,,site/modules/Relay/Relay.module.php,f53b6f6ba5a4c2c190041fe59d8926a0
Clear filters,Clear filtreler,,site/modules/Relay/Relay.module.php,0b275442d6556cff30b75f37f1918899
CLI,CLI,,site/modules/Relay/Relay.module.php,91af5705f16502125e8b2187e64202c0
CLI + LazyCron,CLI + LazyCron,,site/modules/Relay/Relay.module.php,29cf269ee8cf09d63ec883b3f88f9b1b
CLI worker,CLI işçi,,site/modules/Relay/Relay.module.php,0450b38d94a0f09d42a2e35a093d82ac
Close details,Yakın ayrıntıları,,site/modules/Relay/Relay.module.php,d1a5096b0b613e40eea77aa1dd350342
Comma-separated administrator addresses.,Comma-separated administrator adreslerini.,,site/modules/Relay/Relay.module.php,83feeffce6708ac3652653cce1ef4372
Command,Komutan Komutan,,site/modules/Relay/Relay.module.php,ee97be03cb04119af45014d815621ce1
Command-line access,Komut-line erişim,,site/modules/Relay/Relay.module.php,1ae7429170bfbb819a1fafac758dbaff
Commands,Komutanlar,,site/modules/Relay/Relay.module.php,c441ee50c88f6e5e3a7c69fc69dad8b8
Compare pages across a two-week planning board and spot competing publication changes.,İki haftalık planlama kurulu ve spot rekabet eden yayın değişiklikleri ile karşılaştırıldığında sayfalar.,,site/modules/Relay/Relay.module.php,36416f7fba3b68afaa8caf609a6b402d
"Compare three months at a glance, then select any date to inspect it in detail.","Bir bakışta üç ay ile karşılaştırın, sonra onu ayrıntılı olarak incelemek için herhangi bir tarih seçin.",,site/modules/Relay/Relay.module.php,44fb40bb578f67863cc572f8ccc6837f
Completed,Tamamlandı,,site/modules/Relay/Relay.module.php,07ca5050e697392c9ed47e6453f1453f
Completed action,Tamamlanan eylem,,site/modules/Relay/Relay.module.php,bded5a028477d97fee35867fc5306474
Configuration snapshot,Yapılandırma snapshot,,site/modules/Relay/Relay.module.php,a0723ddce45680734891027186cc3da4
Configured,Configured,,site/modules/Relay/Relay.module.php,61aa63eb3ac1c3408640463ee5fe8aa3
"Configure editorial defaults, module boundaries, and worker safety. Planning tools remain in the Relay workspace.","Editör varsayılanları, modül sınırları ve işçi güvenliği. Planlama araçları Relay çalışma alanı içinde kalır.",,site/modules/Relay/Relay.module.php,840ee1e2378e3ae14ab5a2612a6cb829
Connect a trusted application with a ProcessWire session or one scoped Bearer token. Every request still acts as the assigned user.,Bir ProcessWire seansı veya bir kapsamı ile güvenilir bir uygulama ile bağlantı kurmak Bearer token. Her istek hala atanan kullanıcı olarak hareket eder.,,site/modules/Relay/Relay.module.php,832dbb4732956012611aaa8902c9020d
Connected,Bağlanmış,,site/modules/Relay/Relay.module.php,2ec0d16e4ca169baedb9b2d50ec5c6d7
Connect trusted internal tools through the PHP API or REST while keeping ProcessWire permissions in control.,PHP API veya REST aracılığıyla güvenilen iç araçları kontrolde tutmanın ardından ProcessWire izinlerini kontrol edin.,,site/modules/Relay/Relay.module.php,c68fa890692512c3064dfde4ea5e0374
"Controls the weekday order and range boundaries in month, week, quarter, and timeline views.","Hafta gün siparişi ve aralık sınırları ayda, hafta, çeyrek ve zaman zaman zaman görüşlerini kontrol eder.",,site/modules/Relay/Relay.module.php,a35093bd21860077027b3bed0a40b3b2
Copied,Copied,,site/modules/Relay/Relay.module.php,a588b1abc58b8b758c4b34b69b9e10bb
Copy failed,Kopya başarısız oldu,,site/modules/Relay/Relay.module.php,5496a81d145ee0c172e6c616cabbf89c
Copy line,Kopyalama hattı,,site/modules/Relay/Relay.module.php,1b318b7364fe667573f0b08a40bf3504
Copy now,Şimdi kopyalayın,,site/modules/Relay/Relay.module.php,68b3e342561fc3fd7a4b776bce7b32de
Copy publication URL,URL yayın URL,,site/modules/Relay/Relay.module.php,de31ad66e8f4c571db77ca043fc64151
Could not copy the publication URL.,Yayın URL'sini kopyalayamaz.,,site/modules/Relay/Relay.module.php,7de6cdd0cea64636b71bb7daf2eb4330
Create a bot with @BotFather. TeleWire module settings are not used; Relay owns this credential and a private runtime override takes precedence.,@BotFather. TeleWire modülü ayarları kullanılmamıştır; Relay bu haçlı ve özel bir runtime override önceki bir noktaya sahiptir.,,site/modules/Relay/Relay.module.php,1e104bb8cac50f1203e2b0082cc35378
Create action/window from JSON.,JSON'den eylem/window oluşturun.,,site/modules/Relay/Relay.module.php,e809c38a148988d6868a2e26132820d3
Create an action or publication window.,Bir eylem veya yayın penceresi oluşturun.,,site/modules/Relay/Relay.module.php,6724697fdf125552ad446dbd15a9006b
Credential boundary,Credential Limit,,site/modules/Relay/Relay.module.php,0068e8594ce82519d038f615bd036630
Credentials,Credentials,,site/modules/Relay/Relay.module.php,2daf1cb573c2c61422faf64610cf9402
Credentials remain encrypted in Squad. Leave blank to use its active default provider and model.,"Credentials, aktif varsayılan sağlayıcı ve modelini kullanmak için Squad'de şifreli kalır.",,site/modules/Relay/Relay.module.php,4fe66c555255afc3d6071252d53ae094
Cron paths may contain only ordinary path characters and must not contain line breaks.,Cron yolları sadece sıradan yol karakterleri içerebilir ve çizgi molaları içermemelidir.,,site/modules/Relay/Relay.module.php,e18eb6890a7d414858d490f91d52ed60
Crontab,Crontab,,site/modules/Relay/Relay.module.php,7ac05e39c9ac2dca8d85eb369276b5f9
Crontab command builder,Crontab komut oluşturucu,,site/modules/Relay/Relay.module.php,436b64e2d82ccd300bdd7083fcb96bb7
Crontab interval,Crontab aralığı,,site/modules/Relay/Relay.module.php,413239b7ad45b126284d48d2d302a307
Crontab log path,Crontab log yolu,,site/modules/Relay/Relay.module.php,2a0e6f286d79fee4d193ded7d101565a
Crontab PHP binary,Crontab PHP ikili,,site/modules/Relay/Relay.module.php,298c1b65b0849b7b8d4608bdeb172f14
Current runtime,Şimdiki runtime,,site/modules/Relay/Relay.module.php,1ff985a7372fb2007f693065be4ec93f
Current state,Şimdiki devlet,,site/modules/Relay/Relay.module.php,48358648336d501e2336d5360a559533
Date,Tarih Tarihi,,site/modules/Relay/Relay.module.php,44749712dbec183e983dcd78a7736c41
Date and time,Tarih ve Zaman,,site/modules/Relay/Relay.module.php,2b0b7c9cbd6d6e9fa6b99aa06e828673
Dates are entered in this timezone and stored as UTC. Existing jobs retain their timezone snapshot.,Tarihler bu zamana girilir ve UTC olarak depolanır.Mevcut işler zaman bölge snapshot'larını korur.,,site/modules/Relay/Relay.module.php,ef3b9053e482cbbbcb81b70404c333b8
Default planning view,Varsayılan planlama görüşü,,site/modules/Relay/Relay.module.php,7bfd5d7d9aa3cd647746fdd0b268ea2d
Default scheduling time,Varsayılan zamanlama süresi zaman zamanlama,,site/modules/Relay/Relay.module.php,5139b5fa243889383ebcf2eb4e4b6ff3
Defaults editors see when they plan and review publication changes.,Varsayılan editörler yayın değişiklikleri planladıkları ve gözden geçirmedikleri zaman görüyorlar.,,site/modules/Relay/Relay.module.php,866a71238cd697abfcdfe659271e4924
Default time %s,Varsayılan zaman %s,,site/modules/Relay/Relay.module.php,39d05a37d73e961af3d143549681cbf4
Default workspace,Varsayılan çalışma alanı,,site/modules/Relay/Relay.module.php,200b2afc357800a45e6f94aff0e41378
Delivery,Teslimat Teslimatı,,site/modules/Relay/Relay.module.php,065ab3a28ca4f16f55f103adc7d0226f
Demo: action currently being processed,Demo: Şu anda işleniyor,,site/modules/Relay/Relay.module.php,4e977e78254673a0518e9506f0e3b26e
Demo: afternoon editorial release,Demo: öğleden sonra editör serbest bırakıldı,,site/modules/Relay/Relay.module.php,53a7d9e119530324a72233463166c2a1
Demo: article published successfully,Demo: makale başarıyla yayınlandı,,site/modules/Relay/Relay.module.php,c219f7ee8f274c285b2fda9764660d1a
Demo: campaign closed on schedule,Demo: Kampanya programda kapalı,,site/modules/Relay/Relay.module.php,37bb96a328e8c40cffcd48749cf3b0c7
Demo: campaign closing action,Demo: Kampanya kapanış eylemi,,site/modules/Relay/Relay.module.php,f066f0c72cf4115df0e3d170591f9e17
Demo: campaign landing page,Demo: Kampanya iniş sayfası,,site/modules/Relay/Relay.module.php,8e385810eed22833bdc5e78b324ec556
Demo: cancelled weekend release,Demo: Hafta sonu salıverme,,site/modules/Relay/Relay.module.php,16d5392b56592788fe2acee7e9baf7e0
Demo: due action for testing the worker,Demo: İşçiyi test etmek için eylem nedeniyle,,site/modules/Relay/Relay.module.php,0abcb64269c52b16d25131c1d6ffab99
Demo: duplicate launch cancelled,Demo: Tekrarlanan lansmanı iptal edildi,,site/modules/Relay/Relay.module.php,382ba1f1057626ca2237b4bfa2705463
