en,fr,description,file,hash
Absolute path or a path relative to the ProcessWire root. Relay only generates the command; it never writes the system crontab.,Chemin absolu ou chemin relatif à la racine ProcessWire. Relay ne génère que la commande ; il n'écrit jamais le crontab système.,,site/modules/Relay/Relay.module.php,220d13541eac933c9acfb78f07514d20
Access,Accès,,site/modules/Relay/Relay.module.php,bf733d8a933c1601697f364223fc7ecb
Action,Mesures à prendre,,site/modules/Relay/Relay.module.php,004bf6c9a40003140292e97330236c53
Actions,Actions,,site/modules/Relay/Relay.module.php,06df33001c1d7187fdd81ea1f5b277aa
Actions in current view by status,Actions en cours par statut,,site/modules/Relay/Relay.module.php,af64477cfee328730682df824f4f4527
Active,Activité,,site/modules/Relay/Relay.module.php,4d3d769b812b6faa6b76e1a8abaece2d
Adds /relay-api/v1/ routes with session/CSRF or an explicitly rotated Bearer credential. CORS remains disabled.,Ajoute des routes /relay-api/v1/ avec session/CSRF ou une clé Bearer explicitement tournée. CORS reste désactivé.,,site/modules/Relay/Relay.module.php,9b843d3fcc73feed1090d1cc97f93994
Adds a compact action/clock marker and local-time tooltip for users with relay-view.,Ajoute un marqueur d'action/d'horloge compact et un tooltip local pour les utilisateurs avec relay-view.,,site/modules/Relay/Relay.module.php,663e5ab2d43fd1eede404e7d7623588b
Adds a subtle weekend background in date-based calendar views. Disable it for a uniform grid.,Ajoute un fond subtil de week-end dans les vues du calendrier basé sur la date. Désactivez-le pour une grille uniforme.,,site/modules/Relay/Relay.module.php,75d3e7a7bfcdde3525309af275c77048
AI planning proposals,Propositions de planification de l'IA,,site/modules/Relay/Relay.module.php,ce74f68e998d966d107b0e413109aafd
"Alerts contain metadata, not editorial content","Les alertes contiennent des métadonnées, et non du contenu rédactionnel",,site/modules/Relay/Relay.module.php,e2ff31dc656705e2b2d89110a4dac14c
All actions,Toutes les actions,,site/modules/Relay/Relay.module.php,2701bbdc7ebed3bba6e85534149c85b1
All editable templates,Tous les modèles modifiables,,site/modules/Relay/Relay.module.php,c4665cd5c7c6178de30de7f3c8056ba4
Allowed templates,Modèles autorisés,,site/modules/Relay/Relay.module.php,309be34a512a2a051e6e43bb6da151b9
All statuses,Tous les statuts,,site/modules/Relay/Relay.module.php,96e3d398260724e0a83da53a2e9f20e7
All templates,Tous les modèles,,site/modules/Relay/Relay.module.php,d4e3a3afd7f0073d8b3967cf2995edc9
An action fails,Une action échoue,,site/modules/Relay/Relay.module.php,c9987dc7822b8c86232ea7dac2a53950
An action is cancelled,Une action est annulée,,site/modules/Relay/Relay.module.php,d73a22447bf29c5c8b6ec10edb2ddf15
An action is rescheduled,Une action est reportée,,site/modules/Relay/Relay.module.php,de25faabb04cfecc9d35e31628b8fe76
An action is scheduled,Une action est prévue,,site/modules/Relay/Relay.module.php,5c5c92a301f9adb4c09fd18daf4b2830
An editor can request an editable publication-time and note proposal. Nothing is scheduled and no page is changed automatically.,Un éditeur peut demander une proposition de publication et note modifiable. Rien n'est prévu et aucune page n'est changée automatiquement.,,site/modules/Relay/Relay.module.php,bf9d1f92b299ff2027159bb4ad01ee1c
Any action completes,Toute action est terminée,,site/modules/Relay/Relay.module.php,4c1a63ec3b633e25dff8c7c0d954fdf8
A page is successfully published,Une page est publiée avec succès,,site/modules/Relay/Relay.module.php,f4fa1bf941f484b0acd75613e7fde479
API,API,,site/modules/Relay/Relay.module.php,db974238714ca8de634a7ce1d083a14f
API access,Accès aux API,,site/modules/Relay/Relay.module.php,333157a2df341277b8e5bf1ac7b9afd0
API keys and SMTP passwords remain in the selected WireMail provider. Relay sends operational page and job metadata only; a delivery failure never blocks a job state change.,Les clés API et les mots de passe SMTP restent dans le fournisseur WireMail sélectionné. Relay envoie uniquement des pages opérationnelles et des métadonnées de travail; un échec de livraison ne bloque jamais un changement d'état de travail.,,site/modules/Relay/Relay.module.php,335db0f60c195441bf768ffc9a695a42
Apply filters,Appliquer des filtres,,site/modules/Relay/Relay.module.php,79ee641715155ec7d121815215f2b70c
"A request triggers the check, not the clock","Une requête déclenche la vérification, pas l'horloge",,site/modules/Relay/Relay.module.php,8b8b2dee506dea84460e65c8dac45ce2
A runtime credential is active; the saved token is not used.,Un titre de créance d'exécution est actif; le jeton enregistré n'est pas utilisé.,,site/modules/Relay/Relay.module.php,c4956cadc1053597ded6bac69c666e50
"A session-only demo sandbox. Create, reschedule, cancel, filter, and run test actions without writing schedule jobs or changing pages. Real jobs are hidden and workers are paused while enabled.","Une démo de sandbox uniquement en session. Créez, reprogrammez, annulez, filtrez et exécutez des actions de test sans écrire des emplois de calendrier ou de changement de pages.",,site/modules/Relay/Relay.module.php,e021fd243bfab1b74a65440ec0649a84
Assistance,Concours,,site/modules/Relay/Relay.module.php,1741ec6ed69cf571adac9eeb641c4f87
Authentication does not bypass permissions,L'authentification ne contourne pas les autorisations,,site/modules/Relay/Relay.module.php,3105bd97f2e5366f5c658323e62a7d61
Available,Disponible,,site/modules/Relay/Relay.module.php,78945de8de090e90045d299651a68a9b
Batch limit,Limite de lot,,site/modules/Relay/Relay.module.php,c434994f87d80496315aabb424d301ac
Bearer token,Jeton Bearer,,site/modules/Relay/Relay.module.php,25d95961a44037e555767a429cb7864e
Bounded filtered job list.,Liste de tâches filtrées en bon état.,,site/modules/Relay/Relay.module.php,d28acff2ebaac2f03b246ad07ab890cb
Bounded filtered jobs.,Des tâches filtrées bouchées.,,site/modules/Relay/Relay.module.php,a63e0c300eda884def8ac90cee995aee
"Bound execution, retry failed work, and configure the optional traffic-driven fallback.","Exécution en panne, réessayer le travail échoué, et configurer le repli optionnel entraîné par le trafic.",,site/modules/Relay/Relay.module.php,1287ef14325adcd0c658131d23c85733
Browse pages,Parcourir les pages,,site/modules/Relay/Relay.module.php,5e0b73696a62c55958548373ca1b8685
Build a server-ready crontab line from the detected paths and worker limits. This page never installs or executes it.,Construisez une ligne crontab prête à être utilisée par le serveur à partir des chemins détectés et des limites des travailleurs. Cette page ne l'installe jamais ou ne l'exécute jamais.,,site/modules/Relay/Relay.module.php,c6716b8ef9880688b036ee21e2b24786
"Build the exact production worker command to review, copy, and install in the server scheduler.","Construisez la commande exacte de worker de production pour examiner, copier et installer dans le planificateur de serveur.",,site/modules/Relay/Relay.module.php,3dc3e866979d8821bbbaf6c1593d8b46
Calendar,Calendrier,,site/modules/Relay/Relay.module.php,8ff922bbcd8ad41cdfc48d3c5163b2ab
Calendar is clear,Le calendrier est clair,,site/modules/Relay/Relay.module.php,97c3f628453fd7631afa4ff83e6cf353
Calendar range,Plage de calendrier,,site/modules/Relay/Relay.module.php,1421ce9923c5e5d1c1b17300282da3d1
Cancel,Annuler,,site/modules/Relay/Relay.module.php,ea4788705e6873b424c65e91c2846b19
Cancel action,Annuler l' action,,site/modules/Relay/Relay.module.php,1bf87e44da33943a3baad59edd51f4a0
Cancel a pending action.,Annule une action en cours.,,site/modules/Relay/Relay.module.php,b6d129c814ed58a2a5f019b6dbbf3cb5
Cancel editing,Annuler l'édition,,site/modules/Relay/Relay.module.php,12c110ad1b37cf8db33fa1246ec4143d
Cancelled,Annulé,,site/modules/Relay/Relay.module.php,a149e85a44aeec9140e92733d9ed694e
Cancel pending job.,Annule le travail en attente.,,site/modules/Relay/Relay.module.php,8bdd42c19fd7e9a544c6f8b007ab0bde
Cancel this scheduled action?,Annule cette action programmée ?,,site/modules/Relay/Relay.module.php,a5ff052f361c36edf80cdd32fbd0d468
Cards are grouped by status; open any card for full details and actions.,Les cartes sont regroupées par statut; ouvrez n'importe quelle carte pour obtenir tous les détails et les actions.,,site/modules/Relay/Relay.module.php,49a239f405913b1094ea1cbab8dce2b7
Channel and capability manifest.,Canal et manifeste de capacité.,,site/modules/Relay/Relay.module.php,d424fe59c2ccbde6fc73ac9b8d3d9993
Channels and stable capabilities.,Canaux et capacités stables.,,site/modules/Relay/Relay.module.php,a0b7a50f9cffaa9bcbe43579ecb44fa0
Check paths,Vérifier les chemins,,site/modules/Relay/Relay.module.php,46380281d1978ca571499940ac460734
"Choose an interface to see what it does, whether it is ready, what it can change, and where to configure it.","Choisissez une interface pour voir ce qu'elle fait, si elle est prête, ce qu'elle peut changer et où la configurer.",,site/modules/Relay/Relay.module.php,792b6c4ecd8ede98fda36a2d900e5909
Choose a schedule action first.,Choisissez d'abord une action de calendrier.,,site/modules/Relay/Relay.module.php,b5ca6bee4a1a4df268843a5ed568baea
Choose Kanban column,Choisir la colonne Kanban,,site/modules/Relay/Relay.module.php,a75a612ebcfc9a2c29b980d76c23dfc7
Choose month and year,Choisir mois et année,,site/modules/Relay/Relay.module.php,a7175c2ee9b6981892ad0d0cb0770a3c
Choose one or more page templates. Leave empty to allow every editable non-admin page.,Choisissez un ou plusieurs modèles de page. Laissez vide pour permettre à chaque page non-admin modifiable.,,site/modules/Relay/Relay.module.php,62f53ddacf90ac1a1a282667dd84f6ba
Choose publish or unpublish.,Choisissez publier ou non.,,site/modules/Relay/Relay.module.php,52a5e2ae21b418ac0b637e80b695e59b
Choose the roles whose users may be selected by someone with relay-run-as permission.,Choisissez les rôles dont les utilisateurs peuvent être sélectionnés par quelqu'un avec la permission de relay-run-as.,,site/modules/Relay/Relay.module.php,cc5c4664914c5717b118af4ffbb7b656
Choose timeline date,Choisissez la date de la chronologie,,site/modules/Relay/Relay.module.php,58c26170f40ee134863a4e2265318259
Choose up to eight scalar fields. Only these bounded values are included after an editor requests a proposal. Use title alone for the smallest disclosure.,Choisissez jusqu'à huit champs scalaires. Seules ces valeurs limites sont incluses après qu'un éditeur demande une proposition. Utilisez le titre seul pour la plus petite divulgation.,,site/modules/Relay/Relay.module.php,9caa28121a764be018236b2647157e0b
"Choose what should happen to the page, when it should happen, and who should perform it.","Choisissez ce qui devrait arriver à la page, quand cela devrait arriver, et qui devrait l'exécuter.",,site/modules/Relay/Relay.module.php,03029f0acc3df7ea5b91d1fcf3694bd7
Choose which pages and editorial identities Relay may operate on.,Choisissez les pages et les identités éditoriales sur lesquelles Relay peut fonctionner.,,site/modules/Relay/Relay.module.php,6b448a4ff5e5058375e4118a2718db83
Clear all demo actions from this session?,Effacer toutes les actions de démonstration de cette session ?,,site/modules/Relay/Relay.module.php,0afe20513d4c6a3d9f609d4983d57823
Clear demo data,Effacer les données de démonstration,,site/modules/Relay/Relay.module.php,a13c9b268dc6b84aa629f0d3974fb7a6
Clear filter,Effacer le filtre,,site/modules/Relay/Relay.module.php,f53b6f6ba5a4c2c190041fe59d8926a0
Clear filters,Effacer les filtres,,site/modules/Relay/Relay.module.php,0b275442d6556cff30b75f37f1918899
CLI,CLI,,site/modules/Relay/Relay.module.php,91af5705f16502125e8b2187e64202c0
CLI + LazyCron,CLI + LazyCron,,site/modules/Relay/Relay.module.php,29cf269ee8cf09d63ec883b3f88f9b1b
CLI worker,CLI travailleur,,site/modules/Relay/Relay.module.php,0450b38d94a0f09d42a2e35a093d82ac
Close details,Fermer les détails,,site/modules/Relay/Relay.module.php,d1a5096b0b613e40eea77aa1dd350342
Comma-separated administrator addresses.,Adresses de l'administrateur séparé par les virgules.,,site/modules/Relay/Relay.module.php,83feeffce6708ac3652653cce1ef4372
Command,Commande,,site/modules/Relay/Relay.module.php,ee97be03cb04119af45014d815621ce1
Command-line access,Accès en ligne de commande,,site/modules/Relay/Relay.module.php,1ae7429170bfbb819a1fafac758dbaff
Commands,Commandes,,site/modules/Relay/Relay.module.php,c441ee50c88f6e5e3a7c69fc69dad8b8
Compare pages across a two-week planning board and spot competing publication changes.,Comparer les pages d'un tableau de planification de deux semaines et repérer les changements de publication concurrents.,,site/modules/Relay/Relay.module.php,36416f7fba3b68afaa8caf609a6b402d
"Compare three months at a glance, then select any date to inspect it in detail.","Comparez trois mois en un coup d'oeil, puis sélectionnez une date pour l'inspecter en détail.",,site/modules/Relay/Relay.module.php,44fb40bb578f67863cc572f8ccc6837f
Completed,Terminé,,site/modules/Relay/Relay.module.php,07ca5050e697392c9ed47e6453f1453f
Completed action,Mesure achevée,,site/modules/Relay/Relay.module.php,bded5a028477d97fee35867fc5306474
Configuration snapshot,Aperçu de configuration,,site/modules/Relay/Relay.module.php,a0723ddce45680734891027186cc3da4
Configured,Configuration,,site/modules/Relay/Relay.module.php,61aa63eb3ac1c3408640463ee5fe8aa3
"Configure editorial defaults, module boundaries, and worker safety. Planning tools remain in the Relay workspace.","Configurez les paramètres par défaut, les limites des modules et la sécurité des travailleurs. Les outils de planification restent dans l'espace de travail Relay.",,site/modules/Relay/Relay.module.php,840ee1e2378e3ae14ab5a2612a6cb829
Connect a trusted application with a ProcessWire session or one scoped Bearer token. Every request still acts as the assigned user.,Connectez une application de confiance à une session ProcessWire ou à un jeton Bearer scoped. Chaque requête agit toujours comme l'utilisateur assigné.,,site/modules/Relay/Relay.module.php,832dbb4732956012611aaa8902c9020d
Connected,Connecté,,site/modules/Relay/Relay.module.php,2ec0d16e4ca169baedb9b2d50ec5c6d7
Connect trusted internal tools through the PHP API or REST while keeping ProcessWire permissions in control.,Connectez des outils internes de confiance à travers l'API PHP ou REST tout en gardant les autorisations ProcessWire sous contrôle.,,site/modules/Relay/Relay.module.php,c68fa890692512c3064dfde4ea5e0374
"Controls the weekday order and range boundaries in month, week, quarter, and timeline views.","Contrôle les limites de l'ordre et de l'aire de répartition en semaine dans les vues de mois, de semaine, de trimestre et de chronologie.",,site/modules/Relay/Relay.module.php,a35093bd21860077027b3bed0a40b3b2
Copied,Copied,,site/modules/Relay/Relay.module.php,a588b1abc58b8b758c4b34b69b9e10bb
Copy failed,Copie échouée,,site/modules/Relay/Relay.module.php,5496a81d145ee0c172e6c616cabbf89c
Copy line,Copier la ligne,,site/modules/Relay/Relay.module.php,1b318b7364fe667573f0b08a40bf3504
Copy now,Copier maintenant,,site/modules/Relay/Relay.module.php,68b3e342561fc3fd7a4b776bce7b32de
Copy publication URL,Copier l'URL de publication,,site/modules/Relay/Relay.module.php,de31ad66e8f4c571db77ca043fc64151
Could not copy the publication URL.,Impossible de copier l'URL de la publication.,,site/modules/Relay/Relay.module.php,7de6cdd0cea64636b71bb7daf2eb4330
Create a bot with @BotFather. TeleWire module settings are not used; Relay owns this credential and a private runtime override takes precedence.,Créer un bot avec @BotFather. Les paramètres du module TeleWire ne sont pas utilisés; Relay possède cette reconnaissance et une overfore privé a priorité.,,site/modules/Relay/Relay.module.php,1e104bb8cac50f1203e2b0082cc35378
Create action/window from JSON.,Créer action/fenêtre à partir de JSON.,,site/modules/Relay/Relay.module.php,e809c38a148988d6868a2e26132820d3
Create an action or publication window.,Créer une fenêtre action ou publication.,,site/modules/Relay/Relay.module.php,6724697fdf125552ad446dbd15a9006b
Credential boundary,Limites de la valeur probante,,site/modules/Relay/Relay.module.php,0068e8594ce82519d038f615bd036630
Credentials,Pouvoirs,,site/modules/Relay/Relay.module.php,2daf1cb573c2c61422faf64610cf9402
Credentials remain encrypted in Squad. Leave blank to use its active default provider and model.,Les lettres de créances restent cryptées dans Squad. Laissez-les vides pour utiliser son fournisseur et son modèle par défaut actif.,,site/modules/Relay/Relay.module.php,4fe66c555255afc3d6071252d53ae094
Cron paths may contain only ordinary path characters and must not contain line breaks.,Les chemins de cron peuvent contenir uniquement des caractères de chemin ordinaires et ne doivent pas contenir de ruptures de ligne.,,site/modules/Relay/Relay.module.php,e18eb6890a7d414858d490f91d52ed60
Crontab,Les données sont disponibles sur le site Web de l'OMPI.,,site/modules/Relay/Relay.module.php,7ac05e39c9ac2dca8d85eb369276b5f9
Crontab command builder,Constructeur de commande Crontab,,site/modules/Relay/Relay.module.php,436b64e2d82ccd300bdd7083fcb96bb7
Crontab interval,Intervalle Crontab,,site/modules/Relay/Relay.module.php,413239b7ad45b126284d48d2d302a307
Crontab log path,Chemin de log Crontab,,site/modules/Relay/Relay.module.php,2a0e6f286d79fee4d193ded7d101565a
Crontab PHP binary,Crontab binaire PHP,,site/modules/Relay/Relay.module.php,298c1b65b0849b7b8d4608bdeb172f14
Current runtime,Durée d'exécution actuelle,,site/modules/Relay/Relay.module.php,1ff985a7372fb2007f693065be4ec93f
Current state,État actuel,,site/modules/Relay/Relay.module.php,48358648336d501e2336d5360a559533
Date,Date,,site/modules/Relay/Relay.module.php,44749712dbec183e983dcd78a7736c41
Date and time,Date et heure,,site/modules/Relay/Relay.module.php,2b0b7c9cbd6d6e9fa6b99aa06e828673
Dates are entered in this timezone and stored as UTC. Existing jobs retain their timezone snapshot.,Les dates sont entrées dans ce fuseau horaire et stockées sous la forme de UTC. Les emplois existants conservent leur instantané de fuseau horaire.,,site/modules/Relay/Relay.module.php,ef3b9053e482cbbbcb81b70404c333b8
Default planning view,Vue de planification par défaut,,site/modules/Relay/Relay.module.php,7bfd5d7d9aa3cd647746fdd0b268ea2d
Default scheduling time,Temps de programmation par défaut,,site/modules/Relay/Relay.module.php,5139b5fa243889383ebcf2eb4e4b6ff3
Defaults editors see when they plan and review publication changes.,Les éditeurs par défaut voient quand ils planifient et examinent les changements de publication.,,site/modules/Relay/Relay.module.php,866a71238cd697abfcdfe659271e4924
Default time %s,Heure par défaut %s,,site/modules/Relay/Relay.module.php,39d05a37d73e961af3d143549681cbf4
Default workspace,Espace de travail par défaut,,site/modules/Relay/Relay.module.php,200b2afc357800a45e6f94aff0e41378
Delivery,Livraison,,site/modules/Relay/Relay.module.php,065ab3a28ca4f16f55f103adc7d0226f
Demo: action currently being processed,Démo : action en cours de traitement,,site/modules/Relay/Relay.module.php,4e977e78254673a0518e9506f0e3b26e
Demo: afternoon editorial release,Démo: sortie éditoriale après-midi,,site/modules/Relay/Relay.module.php,53a7d9e119530324a72233463166c2a1
Demo: article published successfully,Démo: article publié avec succès,,site/modules/Relay/Relay.module.php,c219f7ee8f274c285b2fda9764660d1a
Demo: campaign closed on schedule,Démo : campagne terminée dans les délais,,site/modules/Relay/Relay.module.php,37bb96a328e8c40cffcd48749cf3b0c7
Demo: campaign closing action,Démo : action de clôture de la campagne,,site/modules/Relay/Relay.module.php,f066f0c72cf4115df0e3d170591f9e17
Demo: campaign landing page,Démo : page d'atterrissage de la campagne,,site/modules/Relay/Relay.module.php,8e385810eed22833bdc5e78b324ec556
Demo: cancelled weekend release,Démo: sortie du week-end annulée,,site/modules/Relay/Relay.module.php,16d5392b56592788fe2acee7e9baf7e0
Demo: due action for testing the worker,Démo : mesures à prendre pour tester le travailleur,,site/modules/Relay/Relay.module.php,0abcb64269c52b16d25131c1d6ffab99
Demo: duplicate launch cancelled,Démo : lancement dupliqué annulé,,site/modules/Relay/Relay.module.php,382ba1f1057626ca2237b4bfa2705463
Demo: early campaign publication completed,Démo : publication de la campagne achevée,,site/modules/Relay/Relay.module.php,e3d5f3a32b5421ced92d87f5ffbeceac
Demo: editorial launch was cancelled,Démo : le lancement éditorial a été annulé,,site/modules/Relay/Relay.module.php,a01270e1dbfc1e2769918d75edf321c9
Demo: evening feature release,Démo: sortie de la fonctionnalité du soir,,site/modules/Relay/Relay.module.php,567f1fb2c94383e790f3418e142baf74
Demo: evening launch cancelled,Démo : lancement du soir annulé,,site/modules/Relay/Relay.module.php,01fc1bca507f5108d78708c516c816b4
Demo: expired publication removed,Démo : suppression de la publication expirée,,site/modules/Relay/Relay.module.php,b763e6b4f53c3fd7a9de4f47a0c2114e
Demo: failed action ready for review,Démo : action ratée prête à être revue,,site/modules/Relay/Relay.module.php,5859cace48df8a80fd1e50d0a44db568
Demo: fortnight editorial milestone,Démo : 15 jours d'étape éditoriale,,site/modules/Relay/Relay.module.php,628d6aee4011ccee88dc1bf6b6c6a870
Demo: future content retirement,Démo : retraite de contenu futur,,site/modules/Relay/Relay.module.php,bdc873844e059ddcae9990287bc292bd
Demo: knowledge-base update,Démo : mise à jour de la base de connaissances,,site/modules/Relay/Relay.module.php,c48930a7b7c6f8ff23ff055391d425ac
Demo: late editorial release,Démo: sortie éditoriale tardive,,site/modules/Relay/Relay.module.php,b791b6bcfd612979c4687115f84eb08e
Demo: long-range publication plan,Démo : plan de publication à long terme,,site/modules/Relay/Relay.module.php,400ab62682aa49552e4380713ad93e0a
Demo: midday failure awaiting review,Démo : échec de midi en attente d'examen,,site/modules/Relay/Relay.module.php,89c5dec77182b2aa09c797b388425c12
Demo: morning product announcement,Démo: annonce de produit matinal,,site/modules/Relay/Relay.module.php,cfc62a32cc355880439d5fdef545d001
Demo: morning publication completed,Démo : publication du matin terminée,,site/modules/Relay/Relay.module.php,2e8dff2e51605dbdeab759499467499c
Demo: next-month opening slot,Démo : le prochain mois de la période d'ouverture,,site/modules/Relay/Relay.module.php,a878e7698bf4faedb78c19170b1cf719
Demo: next-month preview release,Démo : sortie de prévisualisation du mois prochain,,site/modules/Relay/Relay.module.php,af1bd2075439d8df12b07e11bf05d1b9
Demo: older unpublication plan was replaced,Démo : le plan de non publication a été remplacé,,site/modules/Relay/Relay.module.php,34c8d916e9e146e6fb5fc3dd901b44a8
Demo: partner announcement,Démo : annonce de partenaire,,site/modules/Relay/Relay.module.php,b2a018fc7c3d19dcdf4d0695c724acc6
Demo: planned unpublication,Démo : sortie prévue,,site/modules/Relay/Relay.module.php,e7d5b5bc493fabbe51504d69e0f43ca6
Demo: primary publication slot,Démo : créneau de publication primaire,,site/modules/Relay/Relay.module.php,4483db70aab9eca19c24e99fcbad5e9d
Demo: publication failed after retries,Démo: la publication a échoué après les relevés,,site/modules/Relay/Relay.module.php,6f60e14c8fd741c66345e49096581f4c
Demo: quarterly archive plan,Démo : plan d'archives trimestrielles,,site/modules/Relay/Relay.module.php,97590c824e1a54db97e0e72240d1c493
Demo: queued editorial processing,Démo : traitement éditorial en attente,,site/modules/Relay/Relay.module.php,ece98969aa73936c424d7448d63bacb3
Demo: replaced end-of-day plan,Démo : plan de fin de journée remplacé,,site/modules/Relay/Relay.module.php,2679b07e8c9e4e61109af074c6186e6e
Demo: scheduled release completed,Démo : sortie prévue terminée,,site/modules/Relay/Relay.module.php,ec72c83754784238e397d3339ae104d9
Demo: short-lived notice expiry,Démo : expiration d'un préavis de courte durée,,site/modules/Relay/Relay.module.php,fb8069cd90115c02ca5e02390962d2e2
Demo: temporary page expiry,Démo : expiration temporaire de la page,,site/modules/Relay/Relay.module.php,777528530b00495f5bbffd74c0bb0d22
Demo: timed content expiry,Démo : expiration du contenu timed,,site/modules/Relay/Relay.module.php,0609257a5b1203389dca701490616329
Demo: weekend publication,Démo : publication du week-end,,site/modules/Relay/Relay.module.php,772e6de1d5d877a83cf5234d6d45d09a
Demo: weekly editorial opening,Démo : ouverture éditoriale hebdomadaire,,site/modules/Relay/Relay.module.php,517174a2ddde8d07dd50a71b3156a195
Demo action cancelled. No real data was changed.,L'action de démonstration annulée. Aucune donnée réelle n'a été modifiée.,,site/modules/Relay/Relay.module.php,9a3da0c5f659e2d591b558084f562a16
Demo action created. No real data was added.,Action de démonstration créée. Aucune donnée réelle n'a été ajoutée.,,site/modules/Relay/Relay.module.php,84aa0e76a7be503b5914d4aaad23b893
Demo actions,Actions de démonstration,,site/modules/Relay/Relay.module.php,dc058d439f9787fa13ea7d0189fc9a67
Demo action updated. No real data was changed.,Mise à jour de la démo. Aucune donnée réelle n'a été modifiée.,,site/modules/Relay/Relay.module.php,5e788eab456f5d2537002e54d9028edd
Demo failure: retry limit reached,Défaillance de la démonstration : limite de réessayer atteinte,,site/modules/Relay/Relay.module.php,1b648a384fab436f6371cbb50fed1432
Demo publication window created. No real data was added.,La fenêtre de publication de démonstration a été créée. Aucune donnée réelle n'a été ajoutée.,,site/modules/Relay/Relay.module.php,fe51125b66789ffd624b0fcb116cd4e4
Demo sandbox cleared.,Démo bac à sable nettoyé.,,site/modules/Relay/Relay.module.php,0f4bc421a79c379c6088bfc9da36d518
Disabled,Handicapés,,site/modules/Relay/Relay.module.php,b9f5c797ebbf55adccdd8539a65a0241
Disable this option to return to the real schedule. Imitation data can be cleared from the Relay workspace.,Désactiver cette option pour revenir au programme réel. Les données d'imitation peuvent être effacées de l'espace de travail Relay.,,site/modules/Relay/Relay.module.php,44d4af7a081e376050300527f4ccf823
Dismiss notification,Notification de rejet,,site/modules/Relay/Relay.module.php,f60fdb90ef3ee39faa9ae1dcf41b99bc
Drag selected fields into priority order; only fields present on the requested page are sent.,Faites glisser les champs sélectionnés dans l'ordre de priorité; seuls les champs présents sur la page demandée sont envoyés.,,site/modules/Relay/Relay.module.php,75cd4af5e243ca9b7097e3efb57820eb
"Drag this pending action to another date, or open it for exact rescheduling.","Faites glisser cette action en attente à une autre date, ou ouvrez-la pour un rééchelonnement exact.",,site/modules/Relay/Relay.module.php,6c838aa8af183942b8654bc03625178e
Edit,Modifier,,site/modules/Relay/Relay.module.php,7dce122004969d56ae2e0245cb754d35
Editorial identity,Identité éditoriale,,site/modules/Relay/Relay.module.php,e439c9c6d21a35df29cc1f53267b38ef
Editorial identity roles,Rôles d'identité éditoriale,,site/modules/Relay/Relay.module.php,d61b0692a07d7f1642dc1884b7d65530
Editorial planning,Planification de la rédaction,,site/modules/Relay/Relay.module.php,e58d817da46eec7830b8d99de903ca60
Editorial planning assistance,Aide à la planification de la rédaction,,site/modules/Relay/Relay.module.php,811e14b0c4ed2ee9fd897d35100089dc
Editorial timezone,Zone horaire de la rédaction,,site/modules/Relay/Relay.module.php,ad7793c2d4edb026f49afee8542b6620
