en,lt,description,file,hash
Check paths,Patikrinti kelius,,site/modules/Relay/Relay.module.php,46380281d1978ca571499940ac460734
"Choose an interface to see what it does, whether it is ready, what it can change, and where to configure it.","Pasirinkite sąsają, kad pamatytumėte, ką ji daro, ar ji yra pasirengusi, ką ji gali pakeisti, ir kur ją konfigūruoti.",,site/modules/Relay/Relay.module.php,792b6c4ecd8ede98fda36a2d900e5909
Choose a schedule action first.,Pirmiausia pasirinkite tvarkaraščio veiksmą.,,site/modules/Relay/Relay.module.php,b5ca6bee4a1a4df268843a5ed568baea
Choose Kanban column,Pasirinkite Kanban stulpelį,,site/modules/Relay/Relay.module.php,a75a612ebcfc9a2c29b980d76c23dfc7
Choose month and year,Pasirinkite mėnesį ir metus,,site/modules/Relay/Relay.module.php,a7175c2ee9b6981892ad0d0cb0770a3c
Choose one or more page templates. Leave empty to allow every editable non-admin page.,"Pasirinkite vieną ar daugiau puslapių šablonus. Palikite tuščia, kad kiekvienas redaguojamas ne- admin puslapis būtų leidžiamas.",,site/modules/Relay/Relay.module.php,62f53ddacf90ac1a1a282667dd84f6ba
Choose publish or unpublish.,Pasirinkite paskelbti arba neskelbti.,,site/modules/Relay/Relay.module.php,52a5e2ae21b418ac0b637e80b695e59b
Choose the roles whose users may be selected by someone with relay-run-as permission.,"Pasirinkite vaidmenis, kurių vartotojai gali būti pasirinktas kažkas su relay-run-as leidimą.",,site/modules/Relay/Relay.module.php,cc5c4664914c5717b118af4ffbb7b656
Choose timeline date,Pasirinkite laiko grafiko datą,,site/modules/Relay/Relay.module.php,58c26170f40ee134863a4e2265318259
Choose up to eight scalar fields. Only these bounded values are included after an editor requests a proposal. Use title alone for the smallest disclosure.,"Pasirinkite iki aštuonių skalerinių laukų. Tik šios apribotos reikšmės yra įtrauktos po to, kai redaktorius pareikalauja pasiūlymo.",,site/modules/Relay/Relay.module.php,9caa28121a764be018236b2647157e0b
"Choose what should happen to the page, when it should happen, and who should perform it.","Pasirinkite, kas turėtų įvykti puslapyje, kada tai turėtų įvykti, ir kas turėtų tai atlikti.",,site/modules/Relay/Relay.module.php,03029f0acc3df7ea5b91d1fcf3694bd7
Choose which pages and editorial identities Relay may operate on.,"Pasirinkite, kuriuose puslapiuose ir redakcinės tapatybės Relay gali veikti.",,site/modules/Relay/Relay.module.php,6b448a4ff5e5058375e4118a2718db83
Clear all demo actions from this session?,Išvalyti visus demo veiksmus iš šios sesijos?,,site/modules/Relay/Relay.module.php,0afe20513d4c6a3d9f609d4983d57823
Clear demo data,Išvalyti demo duomenis,,site/modules/Relay/Relay.module.php,a13c9b268dc6b84aa629f0d3974fb7a6
Clear filter,Skaidrus filtras,,site/modules/Relay/Relay.module.php,f53b6f6ba5a4c2c190041fe59d8926a0
Clear filters,Valyti filtrus,,site/modules/Relay/Relay.module.php,0b275442d6556cff30b75f37f1918899
CLI,CLI,,site/modules/Relay/Relay.module.php,91af5705f16502125e8b2187e64202c0
CLI + LazyCron,CLI + LazyCron,,site/modules/Relay/Relay.module.php,29cf269ee8cf09d63ec883b3f88f9b1b
CLI worker,CLI darbuotojas,,site/modules/Relay/Relay.module.php,0450b38d94a0f09d42a2e35a093d82ac
Close details,Glausti detales,,site/modules/Relay/Relay.module.php,d1a5096b0b613e40eea77aa1dd350342
Comma-separated administrator addresses.,Krašto (regiono) atskiriami administratoriaus adresai.,,site/modules/Relay/Relay.module.php,83feeffce6708ac3652653cce1ef4372
Command,Komanda,,site/modules/Relay/Relay.module.php,ee97be03cb04119af45014d815621ce1
Command-line access,Prieiga prie komendento linijos,,site/modules/Relay/Relay.module.php,1ae7429170bfbb819a1fafac758dbaff
Commands,Vadovai,,site/modules/Relay/Relay.module.php,c441ee50c88f6e5e3a7c69fc69dad8b8
Compare pages across a two-week planning board and spot competing publication changes.,Palyginkite dviejų savaičių planavimo valdybos puslapius ir vietoje konkuruojančių paskelbimo pakeitimus.,,site/modules/Relay/Relay.module.php,36416f7fba3b68afaa8caf609a6b402d
"Compare three months at a glance, then select any date to inspect it in detail.","Palyginkite tris mėnesius iš pirmo žvilgsnio, tada pasirinkite bet kokią datą, kad jį išsamiai patikrinti.",,site/modules/Relay/Relay.module.php,44fb40bb578f67863cc572f8ccc6837f
Completed,Baigta,,site/modules/Relay/Relay.module.php,07ca5050e697392c9ed47e6453f1453f
Completed action,Baigtas veiksmas,,site/modules/Relay/Relay.module.php,bded5a028477d97fee35867fc5306474
Configuration snapshot,Konfigūracijos nuotrauka,,site/modules/Relay/Relay.module.php,a0723ddce45680734891027186cc3da4
Configured,Konstrukcija,,site/modules/Relay/Relay.module.php,61aa63eb3ac1c3408640463ee5fe8aa3
"Configure editorial defaults, module boundaries, and worker safety. Planning tools remain in the Relay workspace.","Konfigūruoti redakcinius nutylėjimus, modulio ribas, ir darbuotojų saugą. Planavimo įrankiai lieka Relay darbo erdvėje.",,site/modules/Relay/Relay.module.php,840ee1e2378e3ae14ab5a2612a6cb829
Connect a trusted application with a ProcessWire session or one scoped Bearer token. Every request still acts as the assigned user.,Prisijungti patikimą programą su ProcessWire seansu arba vienu kopiniu Bearer raktu. Kiekvienas prašymas vis dar veikia kaip priskirtas vartotojas.,,site/modules/Relay/Relay.module.php,832dbb4732956012611aaa8902c9020d
Connected,Prisijungta,,site/modules/Relay/Relay.module.php,2ec0d16e4ca169baedb9b2d50ec5c6d7
Connect trusted internal tools through the PHP API or REST while keeping ProcessWire permissions in control.,Prisijungti prie patikimų vidinių įrankių per PHP API arba REST išlaikant ProcessWire teises kontroliuoti.,,site/modules/Relay/Relay.module.php,c68fa890692512c3064dfde4ea5e0374
"Controls the weekday order and range boundaries in month, week, quarter, and timeline views.","Valdo savaitės tvarką ir ribų ribas mėnesį, savaitę, ketvirtį ir laiko grafiko peržiūras.",,site/modules/Relay/Relay.module.php,a35093bd21860077027b3bed0a40b3b2
Copied,Kopijuota,,site/modules/Relay/Relay.module.php,a588b1abc58b8b758c4b34b69b9e10bb
Copy failed,Kopijuoti nepavyko,,site/modules/Relay/Relay.module.php,5496a81d145ee0c172e6c616cabbf89c
Copy line,Kopijuoti eilutę,,site/modules/Relay/Relay.module.php,1b318b7364fe667573f0b08a40bf3504
Copy now,Kopijuoti dabar,,site/modules/Relay/Relay.module.php,68b3e342561fc3fd7a4b776bce7b32de
Copy publication URL,Kopijuoti skelbimo URL,,site/modules/Relay/Relay.module.php,de31ad66e8f4c571db77ca043fc64151
Could not copy the publication URL.,Nepavyko nukopijuoti publikavimo URL.,,site/modules/Relay/Relay.module.php,7de6cdd0cea64636b71bb7daf2eb4330
Create a bot with @BotFather. TeleWire module settings are not used; Relay owns this credential and a private runtime override takes precedence.,Sukurti robotą su @BotFather. TeleWire modulis nustatymai nėra naudojami; Relay turi šį patikinimą ir privatus bėgimo laikas override užima pirmumo.,,site/modules/Relay/Relay.module.php,1e104bb8cac50f1203e2b0082cc35378
Create action/window from JSON.,Sukurti veiksmą / langą iš JSON.,,site/modules/Relay/Relay.module.php,e809c38a148988d6868a2e26132820d3
Create an action or publication window.,Sukurti veiksmo arba paskelbimo langą.,,site/modules/Relay/Relay.module.php,6724697fdf125552ad446dbd15a9006b
Credential boundary,Kreditinė riba,,site/modules/Relay/Relay.module.php,0068e8594ce82519d038f615bd036630
Credentials,Kreditai,,site/modules/Relay/Relay.module.php,2daf1cb573c2c61422faf64610cf9402
Credentials remain encrypted in Squad. Leave blank to use its active default provider and model.,Kreditoriai išlieka šifruoti Squad. Palikite tuščia naudoti savo aktyvų numatytąjį serverį ir modelį.,,site/modules/Relay/Relay.module.php,4fe66c555255afc3d6071252d53ae094
Cron paths may contain only ordinary path characters and must not contain line breaks.,Kronas takai gali turėti tik paprastus kelio simbolius ir neturi turėti eilučių pertraukas.,,site/modules/Relay/Relay.module.php,e18eb6890a7d414858d490f91d52ed60
Crontab,Crontab,,site/modules/Relay/Relay.module.php,7ac05e39c9ac2dca8d85eb369276b5f9
Crontab command builder,Crontab komandos statybininkas,,site/modules/Relay/Relay.module.php,436b64e2d82ccd300bdd7083fcb96bb7
Crontab interval,Crontab intervalas,,site/modules/Relay/Relay.module.php,413239b7ad45b126284d48d2d302a307
Crontab log path,Crontab žurnalo kelias,,site/modules/Relay/Relay.module.php,2a0e6f286d79fee4d193ded7d101565a
Crontab PHP binary,Crontab PHP dvejetainis,,site/modules/Relay/Relay.module.php,298c1b65b0849b7b8d4608bdeb172f14
Current runtime,Dabartinis kilimo laikas,,site/modules/Relay/Relay.module.php,1ff985a7372fb2007f693065be4ec93f
Current state,Dabartinė būsena,,site/modules/Relay/Relay.module.php,48358648336d501e2336d5360a559533
Date,Data,,site/modules/Relay/Relay.module.php,44749712dbec183e983dcd78a7736c41
Date and time,Data ir laikas,,site/modules/Relay/Relay.module.php,2b0b7c9cbd6d6e9fa6b99aa06e828673
Dates are entered in this timezone and stored as UTC. Existing jobs retain their timezone snapshot.,Datos įvedamos į šią laiko juostą ir saugomos kaip UTC. Esami darbai išlaiko savo laiko juostos nuotrauką.,,site/modules/Relay/Relay.module.php,ef3b9053e482cbbbcb81b70404c333b8
Default planning view,Numatytasis planavimo rodinys,,site/modules/Relay/Relay.module.php,7bfd5d7d9aa3cd647746fdd0b268ea2d
Default scheduling time,Numatytas tvarkaraščių sudarymo laikas,,site/modules/Relay/Relay.module.php,5139b5fa243889383ebcf2eb4e4b6ff3
Defaults editors see when they plan and review publication changes.,"Įsipareigojimų neįvykdymo redaktoriai mato, kada jie planuoja ir peržiūri paskelbimo pakeitimus.",,site/modules/Relay/Relay.module.php,866a71238cd697abfcdfe659271e4924
Default time %s,Numatytasis laikas %s,,site/modules/Relay/Relay.module.php,39d05a37d73e961af3d143549681cbf4
Default workspace,Numatytoji darbo vieta,,site/modules/Relay/Relay.module.php,200b2afc357800a45e6f94aff0e41378
Delivery,Pristatymas,,site/modules/Relay/Relay.module.php,065ab3a28ca4f16f55f103adc7d0226f
Demo: action currently being processed,Demo: šiuo metu nagrinėjami veiksmai,,site/modules/Relay/Relay.module.php,4e977e78254673a0518e9506f0e3b26e
Demo: afternoon editorial release,Demo: popietinio redakcinio išleidimo,,site/modules/Relay/Relay.module.php,53a7d9e119530324a72233463166c2a1
Demo: article published successfully,Demo: straipsnis sėkmingai paskelbtas,,site/modules/Relay/Relay.module.php,c219f7ee8f274c285b2fda9764660d1a
Demo: campaign closed on schedule,Demo: kampanija baigta pagal tvarkaraštį,,site/modules/Relay/Relay.module.php,37bb96a328e8c40cffcd48749cf3b0c7
Demo: campaign closing action,Demo: kampanijos užbaigimas,,site/modules/Relay/Relay.module.php,f066f0c72cf4115df0e3d170591f9e17
Demo: campaign landing page,Demo: kampanijos nusileidimo puslapis,,site/modules/Relay/Relay.module.php,8e385810eed22833bdc5e78b324ec556
Demo: cancelled weekend release,Demo: atšauktas savaitgalio leidimas,,site/modules/Relay/Relay.module.php,16d5392b56592788fe2acee7e9baf7e0
Demo: due action for testing the worker,Demo: derami veiksmai darbuotojui patikrinti,,site/modules/Relay/Relay.module.php,0abcb64269c52b16d25131c1d6ffab99
Demo: duplicate launch cancelled,Demo: pasikartojantis paleidimas atšauktas,,site/modules/Relay/Relay.module.php,382ba1f1057626ca2237b4bfa2705463
Demo: early campaign publication completed,Demo: ankstyvas kampanijos paskelbimas baigtas,,site/modules/Relay/Relay.module.php,e3d5f3a32b5421ced92d87f5ffbeceac
Demo: editorial launch was cancelled,Demo: redakcinė startacija atšaukta,,site/modules/Relay/Relay.module.php,a01270e1dbfc1e2769918d75edf321c9
Demo: evening feature release,Demo: vakaro funkcijos išleidimas,,site/modules/Relay/Relay.module.php,567f1fb2c94383e790f3418e142baf74
Demo: evening launch cancelled,Demo: vakaro startas atšauktas,,site/modules/Relay/Relay.module.php,01fc1bca507f5108d78708c516c816b4
Demo: expired publication removed,Demo: nebegalioja paskelbimo laikas,,site/modules/Relay/Relay.module.php,b763e6b4f53c3fd7a9de4f47a0c2114e
Demo: failed action ready for review,Demo: nesėkmingas veiksmas parengtas peržiūrai,,site/modules/Relay/Relay.module.php,5859cace48df8a80fd1e50d0a44db568
Demo: fortnight editorial milestone,Demo: dviejų savaičių redakcinio etapo,,site/modules/Relay/Relay.module.php,628d6aee4011ccee88dc1bf6b6c6a870
Demo: future content retirement,Demo: būsimo turinio išėjimas į pensiją,,site/modules/Relay/Relay.module.php,bdc873844e059ddcae9990287bc292bd
Demo: knowledge-base update,Demo: žinios- bazės atnaujinimas,,site/modules/Relay/Relay.module.php,c48930a7b7c6f8ff23ff055391d425ac
Demo: late editorial release,Demo: vėlyvas redakcinis leidinys,,site/modules/Relay/Relay.module.php,b791b6bcfd612979c4687115f84eb08e
Demo: long-range publication plan,Demo: tolimųjų nuotolių leidybos planas,,site/modules/Relay/Relay.module.php,400ab62682aa49552e4380713ad93e0a
Demo: midday failure awaiting review,Demo: vidurdienio nesėkmė laukia apžvalga,,site/modules/Relay/Relay.module.php,89c5dec77182b2aa09c797b388425c12
Demo: morning product announcement,Demo: Rytinis produkto paskelbimas,,site/modules/Relay/Relay.module.php,cfc62a32cc355880439d5fdef545d001
Demo: morning publication completed,Demo: ryto publikacija baigta,,site/modules/Relay/Relay.module.php,2e8dff2e51605dbdeab759499467499c
Demo: next-month opening slot,Demo: next- month overview,,site/modules/Relay/Relay.module.php,a878e7698bf4faedb78c19170b1cf719
Demo: next-month preview release,Demo: next- month peržiūrimage print,,site/modules/Relay/Relay.module.php,af1bd2075439d8df12b07e11bf05d1b9
Demo: older unpublication plan was replaced,Demo: pakeistas senesnis neskelbimo planas,,site/modules/Relay/Relay.module.php,34c8d916e9e146e6fb5fc3dd901b44a8
Demo: partner announcement,Demo: partnerių paskelbimas,,site/modules/Relay/Relay.module.php,b2a018fc7c3d19dcdf4d0695c724acc6
Demo: planned unpublication,Demo: planuojama neskelbti,,site/modules/Relay/Relay.module.php,e7d5b5bc493fabbe51504d69e0f43ca6
Demo: primary publication slot,Demo: pirminio paskelbimo anga,,site/modules/Relay/Relay.module.php,4483db70aab9eca19c24e99fcbad5e9d
Demo: publication failed after retries,Demo: po perbandytų įrašų publikavimas nepavyko,,site/modules/Relay/Relay.module.php,6f60e14c8fd741c66345e49096581f4c
Demo: quarterly archive plan,Demo: ketvirtinis archyvų planas,,site/modules/Relay/Relay.module.php,97590c824e1a54db97e0e72240d1c493
Demo: queued editorial processing,Demo: eilės tvarka redakcinis apdorojimas,,site/modules/Relay/Relay.module.php,ece98969aa73936c424d7448d63bacb3
Demo: replaced end-of-day plan,Demo: pakeistas galutinis dienos planas,,site/modules/Relay/Relay.module.php,2679b07e8c9e4e61109af074c6186e6e
Demo: scheduled release completed,Demo: numatyta laida baigta,,site/modules/Relay/Relay.module.php,ec72c83754784238e397d3339ae104d9
Demo: short-lived notice expiry,Demo: trumpo naudojimo įspėjimo galiojimo laikas,,site/modules/Relay/Relay.module.php,fb8069cd90115c02ca5e02390962d2e2
Demo: temporary page expiry,Demo: laikinas puslapio galiojimo laikas,,site/modules/Relay/Relay.module.php,777528530b00495f5bbffd74c0bb0d22
Demo: timed content expiry,Demo: laikas iki turinio galiojimo pabaigos,,site/modules/Relay/Relay.module.php,0609257a5b1203389dca701490616329
Demo: weekend publication,Demo: savaitgalio leidyba,,site/modules/Relay/Relay.module.php,772e6de1d5d877a83cf5234d6d45d09a
Demo: weekly editorial opening,Demo: savaitinė redakcinio atidarymo diena,,site/modules/Relay/Relay.module.php,517174a2ddde8d07dd50a71b3156a195
Demo action cancelled. No real data was changed.,Demo veiksmas atšauktas. Tikrieji duomenys nepakeisti.,,site/modules/Relay/Relay.module.php,9a3da0c5f659e2d591b558084f562a16
Demo action created. No real data was added.,Demo veiksmas sukurtas. Nepridėta jokių realių duomenų.,,site/modules/Relay/Relay.module.php,84aa0e76a7be503b5914d4aaad23b893
Demo actions,Demo veiksmai,,site/modules/Relay/Relay.module.php,dc058d439f9787fa13ea7d0189fc9a67
Demo action updated. No real data was changed.,Atnaujintas demo veiksmas. Tikrų duomenų nepakeista.,,site/modules/Relay/Relay.module.php,5e788eab456f5d2537002e54d9028edd
Demo failure: retry limit reached,Demo gedimas: pasiekta pakartotinė riba,,site/modules/Relay/Relay.module.php,1b648a384fab436f6371cbb50fed1432
Demo publication window created. No real data was added.,Sukurtas demo paskelbimo langas. Nepridėta jokių realių duomenų.,,site/modules/Relay/Relay.module.php,fe51125b66789ffd624b0fcb116cd4e4
Demo sandbox cleared.,Demo smėlio dėžė išvalyta.,,site/modules/Relay/Relay.module.php,0f4bc421a79c379c6088bfc9da36d518
Disabled,Išjungtas,,site/modules/Relay/Relay.module.php,b9f5c797ebbf55adccdd8539a65a0241
