en,fi,description,file,hash
An action is scheduled,Suunnitelma,,site/modules/Relay/Relay.module.php,5c5c92a301f9adb4c09fd18daf4b2830
An editor can request an editable publication-time and note proposal. Nothing is scheduled and no page is changed automatically.,Editori voi pyytää muokattavissa olevaa julkaisuaikaa ja muistiinpanoa. Mitään ei ole suunniteltu eikä sivua muuteta automaattisesti.,,site/modules/Relay/Relay.module.php,bf9d1f92b299ff2027159bb4ad01ee1c
Any action completes,Toiminto päättyy,,site/modules/Relay/Relay.module.php,4c1a63ec3b633e25dff8c7c0d954fdf8
A page is successfully published,Sivu julkaistaan onnistuneesti,,site/modules/Relay/Relay.module.php,f4fa1bf941f484b0acd75613e7fde479
API,API,,site/modules/Relay/Relay.module.php,db974238714ca8de634a7ce1d083a14f
API access,API-yhteys,,site/modules/Relay/Relay.module.php,333157a2df341277b8e5bf1ac7b9afd0
API keys and SMTP passwords remain in the selected WireMail provider. Relay sends operational page and job metadata only; a delivery failure never blocks a job state change.,API-avaimet ja SMTP-salasanat pysyvät valitussa WireMail-palveluntarjoajassa. Relay lähettää vain operatiivisen sivun ja työn metadatan; toimitusvirhe ei koskaan estä työsuhteen muutosta.,,site/modules/Relay/Relay.module.php,335db0f60c195441bf768ffc9a695a42
Apply filters,Käytä suodattimia,,site/modules/Relay/Relay.module.php,79ee641715155ec7d121815215f2b70c
"A request triggers the check, not the clock","Pyyntö käynnistää tarkistuksen, ei kelloa",,site/modules/Relay/Relay.module.php,8b8b2dee506dea84460e65c8dac45ce2
A runtime credential is active; the saved token is not used.,Runtime-tunnus on aktiivinen; tallennettua tokenia ei käytetä.,,site/modules/Relay/Relay.module.php,c4956cadc1053597ded6bac69c666e50
"A session-only demo sandbox. Create, reschedule, cancel, filter, and run test actions without writing schedule jobs or changing pages. Real jobs are hidden and workers are paused while enabled.","Luo, muuta, peruuta, suodata ja suorita testitoiminnot kirjoittamatta aikataulutöitä tai vaihtamatta sivuja. Oikeat työpaikat ovat piilossa ja työntekijät tauolla, kun käytössä.",,site/modules/Relay/Relay.module.php,e021fd243bfab1b74a65440ec0649a84
Assistance,Tuki,,site/modules/Relay/Relay.module.php,1741ec6ed69cf571adac9eeb641c4f87
Authentication does not bypass permissions,Tunnistaminen ei ohita oikeuksia,,site/modules/Relay/Relay.module.php,3105bd97f2e5366f5c658323e62a7d61
Available,Saatavilla,,site/modules/Relay/Relay.module.php,78945de8de090e90045d299651a68a9b
Batch limit,Erän raja-arvo,,site/modules/Relay/Relay.module.php,c434994f87d80496315aabb424d301ac
Bearer token,Bearer-toletti,,site/modules/Relay/Relay.module.php,25d95961a44037e555767a429cb7864e
Bounded filtered job list.,Sidottu suodatettu työlista.,,site/modules/Relay/Relay.module.php,d28acff2ebaac2f03b246ad07ab890cb
Bounded filtered jobs.,Sidottuja suodatettuja töitä.,,site/modules/Relay/Relay.module.php,a63e0c300eda884def8ac90cee995aee
"Bound execution, retry failed work, and configure the optional traffic-driven fallback.","Rajattu suoritus, yritä uudelleen epäonnistua työtä, ja määrittää valinnaisen liikennevetoisen varasuunnitelman.",,site/modules/Relay/Relay.module.php,1287ef14325adcd0c658131d23c85733
Browse pages,Selaa sivuja,,site/modules/Relay/Relay.module.php,5e0b73696a62c55958548373ca1b8685
Build a server-ready crontab line from the detected paths and worker limits. This page never installs or executes it.,Rakenna palvelimen valmius crontab-linja havaittu polkuja ja työntekijöiden rajoja. Tämä sivu ei koskaan asentaa tai suorittaa sitä.,,site/modules/Relay/Relay.module.php,c6716b8ef9880688b036ee21e2b24786
"Build the exact production worker command to review, copy, and install in the server scheduler.","Rakenna tarkka tuotantotyöntekijän komento tarkistaa, kopioida ja asentaa palvelimen aikataulu.",,site/modules/Relay/Relay.module.php,3dc3e866979d8821bbbaf6c1593d8b46
Calendar,Kalenteri,,site/modules/Relay/Relay.module.php,8ff922bbcd8ad41cdfc48d3c5163b2ab
Calendar is clear,Kalenteri on tyhjä.,,site/modules/Relay/Relay.module.php,97c3f628453fd7631afa4ff83e6cf353
Calendar range,Kalenterialue,,site/modules/Relay/Relay.module.php,1421ce9923c5e5d1c1b17300282da3d1
Cancel,Peruuta,,site/modules/Relay/Relay.module.php,ea4788705e6873b424c65e91c2846b19
Cancel action,Peru toimet,,site/modules/Relay/Relay.module.php,1bf87e44da33943a3baad59edd51f4a0
Cancel a pending action.,Perukaa vireillä oleva kanne.,,site/modules/Relay/Relay.module.php,b6d129c814ed58a2a5f019b6dbbf3cb5
Cancel editing,Peruuta muokkaus,,site/modules/Relay/Relay.module.php,12c110ad1b37cf8db33fa1246ec4143d
Cancelled,Peruttu,,site/modules/Relay/Relay.module.php,a149e85a44aeec9140e92733d9ed694e
Cancel pending job.,Perukaa keskeneräinen työ.,,site/modules/Relay/Relay.module.php,8bdd42c19fd7e9a544c6f8b007ab0bde
Cancel this scheduled action?,Perutteko tämän aikataulun mukaisen toiminnan?,,site/modules/Relay/Relay.module.php,a5ff052f361c36edf80cdd32fbd0d468
Cards are grouped by status; open any card for full details and actions.,Kortit ryhmitellään tilan mukaan; avaa kaikki kortti yksityiskohtaiset tiedot ja toimet.,,site/modules/Relay/Relay.module.php,49a239f405913b1094ea1cbab8dce2b7
Channel and capability manifest.,Kanava ja kykyjen ilmentymä.,,site/modules/Relay/Relay.module.php,d424fe59c2ccbde6fc73ac9b8d3d9993
Channels and stable capabilities.,Kanavat ja vakaat ominaisuudet.,,site/modules/Relay/Relay.module.php,a0b7a50f9cffaa9bcbe43579ecb44fa0
Check paths,Tarkista polut,,site/modules/Relay/Relay.module.php,46380281d1978ca571499940ac460734
"Choose an interface to see what it does, whether it is ready, what it can change, and where to configure it.","Valitse käyttöliittymä nähdäksesi, mitä se tekee, onko se valmis, mitä se voi muuttaa ja missä se on määritetty.",,site/modules/Relay/Relay.module.php,792b6c4ecd8ede98fda36a2d900e5909
Choose a schedule action first.,Valitse ensin aikataulutoimenpide.,,site/modules/Relay/Relay.module.php,b5ca6bee4a1a4df268843a5ed568baea
Choose Kanban column,Valitse Kanban-sarake,,site/modules/Relay/Relay.module.php,a75a612ebcfc9a2c29b980d76c23dfc7
Choose month and year,Valitse kuukausi ja vuosi,,site/modules/Relay/Relay.module.php,a7175c2ee9b6981892ad0d0cb0770a3c
Choose one or more page templates. Leave empty to allow every editable non-admin page.,"Valitse yksi tai useampi sivumalli. Jätä tyhjäksi, jotta jokainen muokattavissa oleva ei-admin-sivu voidaan jättää.",,site/modules/Relay/Relay.module.php,62f53ddacf90ac1a1a282667dd84f6ba
Choose publish or unpublish.,Valitse julkaisu tai unpublish.,,site/modules/Relay/Relay.module.php,52a5e2ae21b418ac0b637e80b695e59b
Choose the roles whose users may be selected by someone with relay-run-as permission.,"Valitse roolit, joiden käyttäjät voivat valita joku relay-run-as-luvalla.",,site/modules/Relay/Relay.module.php,cc5c4664914c5717b118af4ffbb7b656
Choose timeline date,Valitse aikajanapäivä,,site/modules/Relay/Relay.module.php,58c26170f40ee134863a4e2265318259
Choose up to eight scalar fields. Only these bounded values are included after an editor requests a proposal. Use title alone for the smallest disclosure.,"Valitse jopa kahdeksan scalar-kenttää. Vain nämä raja-arvot sisältyvät, kun toimittaja pyytää ehdotusta. Käytä otsikkoa yksin pienimpään ilmoitukseen.",,site/modules/Relay/Relay.module.php,9caa28121a764be018236b2647157e0b
"Choose what should happen to the page, when it should happen, and who should perform it.","Valitse mitä pitäisi tapahtua sivulle, kun se pitäisi tapahtua, ja kenen pitäisi suorittaa se.",,site/modules/Relay/Relay.module.php,03029f0acc3df7ea5b91d1fcf3694bd7
Choose which pages and editorial identities Relay may operate on.,Valitse millä sivuilla ja toimituksellisilla identiteeteillä Relay voi toimia.,,site/modules/Relay/Relay.module.php,6b448a4ff5e5058375e4118a2718db83
Clear all demo actions from this session?,Tyhjennä kaikki demo toiminnot tästä istunnosta?,,site/modules/Relay/Relay.module.php,0afe20513d4c6a3d9f609d4983d57823
Clear demo data,Tyhjennä demotiedot,,site/modules/Relay/Relay.module.php,a13c9b268dc6b84aa629f0d3974fb7a6
Clear filter,Tyhjennä suodatin,,site/modules/Relay/Relay.module.php,f53b6f6ba5a4c2c190041fe59d8926a0
Clear filters,Tyhjennä suodattimet,,site/modules/Relay/Relay.module.php,0b275442d6556cff30b75f37f1918899
CLI,CLI,,site/modules/Relay/Relay.module.php,91af5705f16502125e8b2187e64202c0
CLI + LazyCron,CLI + LazyCron,,site/modules/Relay/Relay.module.php,29cf269ee8cf09d63ec883b3f88f9b1b
CLI worker,CLI-työntekijä,,site/modules/Relay/Relay.module.php,0450b38d94a0f09d42a2e35a093d82ac
Close details,Sulje yksityiskohdat,,site/modules/Relay/Relay.module.php,d1a5096b0b613e40eea77aa1dd350342
Comma-separated administrator addresses.,Pilkku-erillisessä ylläpitäjän osoite.,,site/modules/Relay/Relay.module.php,83feeffce6708ac3652653cce1ef4372
Command,Komento,,site/modules/Relay/Relay.module.php,ee97be03cb04119af45014d815621ce1
Command-line access,Komentoriville pääsy,,site/modules/Relay/Relay.module.php,1ae7429170bfbb819a1fafac758dbaff
Commands,Komennot,,site/modules/Relay/Relay.module.php,c441ee50c88f6e5e3a7c69fc69dad8b8
Compare pages across a two-week planning board and spot competing publication changes.,Vertaa sivuja kahden viikon suunnittelu- ja spot kilpailevia julkaisumuutoksia.,,site/modules/Relay/Relay.module.php,36416f7fba3b68afaa8caf609a6b402d
"Compare three months at a glance, then select any date to inspect it in detail.","Vertaa kolme kuukautta yhdellä silmäyksellä, valitse sitten mikä tahansa päivämäärä tarkastaa sen yksityiskohtaisesti.",,site/modules/Relay/Relay.module.php,44fb40bb578f67863cc572f8ccc6837f
Completed,Valmis,,site/modules/Relay/Relay.module.php,07ca5050e697392c9ed47e6453f1453f
Completed action,Asian käsittely on päättynyt,,site/modules/Relay/Relay.module.php,bded5a028477d97fee35867fc5306474
Configuration snapshot,Asetuksen kuvaus,,site/modules/Relay/Relay.module.php,a0723ddce45680734891027186cc3da4
Configured,Muokkaa,,site/modules/Relay/Relay.module.php,61aa63eb3ac1c3408640463ee5fe8aa3
"Configure editorial defaults, module boundaries, and worker safety. Planning tools remain in the Relay workspace.","Muokkaa toimituksellisia oletuksia, moduulin rajoja ja työntekijöiden turvallisuutta. Suunnittelutyökalut pysyvät Relay-työtilassa.",,site/modules/Relay/Relay.module.php,840ee1e2378e3ae14ab5a2612a6cb829
Connect a trusted application with a ProcessWire session or one scoped Bearer token. Every request still acts as the assigned user.,Liitä luotettava sovellus ProcessWire-istuntoon tai yhteen laajennettuun Bearer-tolettiin. Jokainen pyyntö toimii edelleen käyttäjänä.,,site/modules/Relay/Relay.module.php,832dbb4732956012611aaa8902c9020d
Connected,Yhdistetty,,site/modules/Relay/Relay.module.php,2ec0d16e4ca169baedb9b2d50ec5c6d7
Connect trusted internal tools through the PHP API or REST while keeping ProcessWire permissions in control.,Yhdistä luotettavat sisäiset työkalut PHP API:n tai REST:n kautta pitäen ProcessWire:n oikeudet hallinnassa.,,site/modules/Relay/Relay.module.php,c68fa890692512c3064dfde4ea5e0374
"Controls the weekday order and range boundaries in month, week, quarter, and timeline views.","Valvoo arkipäivän järjestystä ja kantaman rajoja kuukausi-, viikko-, vuosineljännes- ja aikajananäkymissä.",,site/modules/Relay/Relay.module.php,a35093bd21860077027b3bed0a40b3b2
Copied,Kopioi,,site/modules/Relay/Relay.module.php,a588b1abc58b8b758c4b34b69b9e10bb
Copy failed,Kopioiminen epäonnistui,,site/modules/Relay/Relay.module.php,5496a81d145ee0c172e6c616cabbf89c
Copy line,Kopioi rivi,,site/modules/Relay/Relay.module.php,1b318b7364fe667573f0b08a40bf3504
Copy now,Kopioi nyt,,site/modules/Relay/Relay.module.php,68b3e342561fc3fd7a4b776bce7b32de
Copy publication URL,Kopioi julkaisun URL,,site/modules/Relay/Relay.module.php,de31ad66e8f4c571db77ca043fc64151
Could not copy the publication URL.,Julkaisun URL- osoitetta ei voitu kopioida.,,site/modules/Relay/Relay.module.php,7de6cdd0cea64636b71bb7daf2eb4330
Create a bot with @BotFather. TeleWire module settings are not used; Relay owns this credential and a private runtime override takes precedence.,Luo botti @BotFather:llä. TeleWire:n moduuliasetuksia ei käytetä; Relay omistaa tämän credentiaalisen ja yksityinen juoksuaika-ohitus on etusijalla.,,site/modules/Relay/Relay.module.php,1e104bb8cac50f1203e2b0082cc35378
Create action/window from JSON.,Luo toiminto/ikkuna JSON:stä.,,site/modules/Relay/Relay.module.php,e809c38a148988d6868a2e26132820d3
Create an action or publication window.,Luo toiminto- tai julkaisuikkuna.,,site/modules/Relay/Relay.module.php,6724697fdf125552ad446dbd15a9006b
Credential boundary,Luontoraja,,site/modules/Relay/Relay.module.php,0068e8594ce82519d038f615bd036630
Credentials,Valtakirjat,,site/modules/Relay/Relay.module.php,2daf1cb573c2c61422faf64610cf9402
Credentials remain encrypted in Squad. Leave blank to use its active default provider and model.,Valtakirjat pysyvät salattuina Squad:ssä. Jätä viesti käyttämättä käyttääksesi aktiivista oletuspalveluntarjoajaa ja -mallia.,,site/modules/Relay/Relay.module.php,4fe66c555255afc3d6071252d53ae094
Cron paths may contain only ordinary path characters and must not contain line breaks.,"Cron-polut voivat sisältää vain tavallisia polkumerkkejä, eivätkä ne saa sisältää rivitaukoja.",,site/modules/Relay/Relay.module.php,e18eb6890a7d414858d490f91d52ed60
Crontab,Crontab,,site/modules/Relay/Relay.module.php,7ac05e39c9ac2dca8d85eb369276b5f9
Crontab command builder,Crontab-komennon rakentaja,,site/modules/Relay/Relay.module.php,436b64e2d82ccd300bdd7083fcb96bb7
Crontab interval,Crontab-väli,,site/modules/Relay/Relay.module.php,413239b7ad45b126284d48d2d302a307
Crontab log path,Crontab- lokipolku,,site/modules/Relay/Relay.module.php,2a0e6f286d79fee4d193ded7d101565a
Crontab PHP binary,Crontab PHP binääri,,site/modules/Relay/Relay.module.php,298c1b65b0849b7b8d4608bdeb172f14
Current runtime,Nykyinen ajoaika,,site/modules/Relay/Relay.module.php,1ff985a7372fb2007f693065be4ec93f
Current state,Nykytila,,site/modules/Relay/Relay.module.php,48358648336d501e2336d5360a559533
Date,Päivämäärä,,site/modules/Relay/Relay.module.php,44749712dbec183e983dcd78a7736c41
Date and time,Päivämäärä ja kellonaika,,site/modules/Relay/Relay.module.php,2b0b7c9cbd6d6e9fa6b99aa06e828673
Dates are entered in this timezone and stored as UTC. Existing jobs retain their timezone snapshot.,Päivämäärät merkitään tälle aikavyöhykkeelle ja tallennetaan UTC:nä. Olemassa olevat työpaikat säilyttävät aikavyöhykekuvansa.,,site/modules/Relay/Relay.module.php,ef3b9053e482cbbbcb81b70404c333b8
Default planning view,Oletusnäkymä,,site/modules/Relay/Relay.module.php,7bfd5d7d9aa3cd647746fdd0b268ea2d
Default scheduling time,Oletusaikatauluaika,,site/modules/Relay/Relay.module.php,5139b5fa243889383ebcf2eb4e4b6ff3
Defaults editors see when they plan and review publication changes.,Oletukset editorit näkevät milloin ne suunnittelevat ja tarkistavat julkaisun muutokset.,,site/modules/Relay/Relay.module.php,866a71238cd697abfcdfe659271e4924
Default time %s,Oletusaika %s,,site/modules/Relay/Relay.module.php,39d05a37d73e961af3d143549681cbf4
Default workspace,Oletustyötila,,site/modules/Relay/Relay.module.php,200b2afc357800a45e6f94aff0e41378
Delivery,Toimitus,,site/modules/Relay/Relay.module.php,065ab3a28ca4f16f55f103adc7d0226f
Demo: action currently being processed,Demo: parhaillaan käsiteltävät toimet,,site/modules/Relay/Relay.module.php,4e977e78254673a0518e9506f0e3b26e
Demo: afternoon editorial release,Demo: iltapäivän julkaisu,,site/modules/Relay/Relay.module.php,53a7d9e119530324a72233463166c2a1
Demo: article published successfully,Demo: artikkeli julkaistu onnistuneesti,,site/modules/Relay/Relay.module.php,c219f7ee8f274c285b2fda9764660d1a
Demo: campaign closed on schedule,Demo: kampanja suljettu aikataulussa,,site/modules/Relay/Relay.module.php,37bb96a328e8c40cffcd48749cf3b0c7
Demo: campaign closing action,Demo: kampanjan päätöstoimet,,site/modules/Relay/Relay.module.php,f066f0c72cf4115df0e3d170591f9e17
Demo: campaign landing page,Demo: kampanjan laskeutumissivu,,site/modules/Relay/Relay.module.php,8e385810eed22833bdc5e78b324ec556
Demo: cancelled weekend release,Demo: peruuntunut viikonloppujulkaisu,,site/modules/Relay/Relay.module.php,16d5392b56592788fe2acee7e9baf7e0
Demo: due action for testing the worker,Demo: asianmukainen toiminta työntekijän testaamiseksi,,site/modules/Relay/Relay.module.php,0abcb64269c52b16d25131c1d6ffab99
Demo: duplicate launch cancelled,Demo: kaksoiskäynnistys peruttu,,site/modules/Relay/Relay.module.php,382ba1f1057626ca2237b4bfa2705463
Demo: early campaign publication completed,Demo: kampanjan alkuvaihe,,site/modules/Relay/Relay.module.php,e3d5f3a32b5421ced92d87f5ffbeceac
Demo: editorial launch was cancelled,Demo: toimituksellinen lanseeraus peruttiin,,site/modules/Relay/Relay.module.php,a01270e1dbfc1e2769918d75edf321c9
Demo: evening feature release,Demo: ilta-ominaisuuden julkaisu,,site/modules/Relay/Relay.module.php,567f1fb2c94383e790f3418e142baf74
Demo: evening launch cancelled,Demo: ilta-asennuksen peruttu,,site/modules/Relay/Relay.module.php,01fc1bca507f5108d78708c516c816b4
Demo: expired publication removed,Demo: vanhentunut julkaisu poistettu,,site/modules/Relay/Relay.module.php,b763e6b4f53c3fd7a9de4f47a0c2114e
Demo: failed action ready for review,Demo: epäonnistunut toiminta valmiina tarkistettavaksi,,site/modules/Relay/Relay.module.php,5859cace48df8a80fd1e50d0a44db568
Demo: fortnight editorial milestone,Demo: kahden viikon toimituksellinen virstanpylväs,,site/modules/Relay/Relay.module.php,628d6aee4011ccee88dc1bf6b6c6a870
Demo: future content retirement,Demo: tuleva sisältöeläkkeelle,,site/modules/Relay/Relay.module.php,bdc873844e059ddcae9990287bc292bd
Demo: knowledge-base update,Demo: tietopohjan päivitys,,site/modules/Relay/Relay.module.php,c48930a7b7c6f8ff23ff055391d425ac
Demo: late editorial release,Demo: myöhäinen toimitus,,site/modules/Relay/Relay.module.php,b791b6bcfd612979c4687115f84eb08e
Demo: long-range publication plan,Demo: pitkän kantaman julkaisusuunnitelma,,site/modules/Relay/Relay.module.php,400ab62682aa49552e4380713ad93e0a
Demo: midday failure awaiting review,Demo: keskipäivän epäonnistuminen odottamassa uudelleentarkastelua,,site/modules/Relay/Relay.module.php,89c5dec77182b2aa09c797b388425c12
Demo: morning product announcement,Demo: aamun tuoteilmoitus,,site/modules/Relay/Relay.module.php,cfc62a32cc355880439d5fdef545d001
Demo: morning publication completed,Demo: aamujulkaisu valmistunut,,site/modules/Relay/Relay.module.php,2e8dff2e51605dbdeab759499467499c
Demo: next-month opening slot,Demo: ensi kuukauden avauspaikka,,site/modules/Relay/Relay.module.php,a878e7698bf4faedb78c19170b1cf719
Demo: next-month preview release,Demo: seuraavan kuukauden esikatselu julkaisu,,site/modules/Relay/Relay.module.php,af1bd2075439d8df12b07e11bf05d1b9
Demo: older unpublication plan was replaced,Demo: vanhempi julkistamattomuussuunnitelma korvattiin,,site/modules/Relay/Relay.module.php,34c8d916e9e146e6fb5fc3dd901b44a8
Demo: partner announcement,Demo: kumppanin ilmoitus,,site/modules/Relay/Relay.module.php,b2a018fc7c3d19dcdf4d0695c724acc6
Demo: planned unpublication,Demo: suunniteltu julkistamatta jättäminen,,site/modules/Relay/Relay.module.php,e7d5b5bc493fabbe51504d69e0f43ca6
Demo: primary publication slot,Demo: ensisijainen julkaisupaikka,,site/modules/Relay/Relay.module.php,4483db70aab9eca19c24e99fcbad5e9d
Demo: publication failed after retries,Demo: julkaisu epäonnistui retriesin jälkeen,,site/modules/Relay/Relay.module.php,6f60e14c8fd741c66345e49096581f4c
Demo: quarterly archive plan,Demo: neljännesvuosittainen arkistosuunnitelma,,site/modules/Relay/Relay.module.php,97590c824e1a54db97e0e72240d1c493
Demo: queued editorial processing,Demo: jonotettu toimituksellinen käsittely,,site/modules/Relay/Relay.module.php,ece98969aa73936c424d7448d63bacb3
Demo: replaced end-of-day plan,Demo: korvattu päivän lopun suunnitelma,,site/modules/Relay/Relay.module.php,2679b07e8c9e4e61109af074c6186e6e
Demo: scheduled release completed,Demo: suunniteltu julkaisu valmis,,site/modules/Relay/Relay.module.php,ec72c83754784238e397d3339ae104d9
Demo: short-lived notice expiry,Demo: lyhytaikainen irtisanomisaika,,site/modules/Relay/Relay.module.php,fb8069cd90115c02ca5e02390962d2e2
Demo: temporary page expiry,Demo: väliaikainen sivun voimassaolon päättyminen,,site/modules/Relay/Relay.module.php,777528530b00495f5bbffd74c0bb0d22
Demo: timed content expiry,Demo: aikaistettu sisällön voimassaolon päättyminen,,site/modules/Relay/Relay.module.php,0609257a5b1203389dca701490616329
Demo: weekend publication,Demo: viikonloppujulkaisu,,site/modules/Relay/Relay.module.php,772e6de1d5d877a83cf5234d6d45d09a
Demo: weekly editorial opening,Demo: viikoittainen toimitusavaus,,site/modules/Relay/Relay.module.php,517174a2ddde8d07dd50a71b3156a195
Demo action cancelled. No real data was changed.,"Demo peruuntui, eikä oikeaa tietoa muutettu.",,site/modules/Relay/Relay.module.php,9a3da0c5f659e2d591b558084f562a16
Demo action created. No real data was added.,Demo-toiminto luotu. Todellista tietoa ei lisätty.,,site/modules/Relay/Relay.module.php,84aa0e76a7be503b5914d4aaad23b893
Demo actions,Demo-toiminnot,,site/modules/Relay/Relay.module.php,dc058d439f9787fa13ea7d0189fc9a67
Demo action updated. No real data was changed.,Demoa ei ole muutettu.,,site/modules/Relay/Relay.module.php,5e788eab456f5d2537002e54d9028edd
Demo failure: retry limit reached,Demo epäonnistui: yritetään uudelleen raja-arvo saavutettu,,site/modules/Relay/Relay.module.php,1b648a384fab436f6371cbb50fed1432
Demo publication window created. No real data was added.,Demo-julkaisuikkuna luotu. Todellisia tietoja ei lisätty.,,site/modules/Relay/Relay.module.php,fe51125b66789ffd624b0fcb116cd4e4
Demo sandbox cleared.,Demohiekkalaatikko on tyhjä.,,site/modules/Relay/Relay.module.php,0f4bc421a79c379c6088bfc9da36d518
Disabled,Ei käytössä,,site/modules/Relay/Relay.module.php,b9f5c797ebbf55adccdd8539a65a0241
